holding_code,type,sector,symbol
KBANK SI_1AM-DAILY,Stock (TH),Financial Services,KBANK
UOB_SI_1AM-DAILY,Stock (US),Financial Services,UOVEF
ADVANC,Stock (TH),Communication Services,ADVANC
UOB_SI_1AM-DAILY,Stock (US),Financial Services,UOVEF
AOT,Stock (TH),Industrials,AOT-R
AMATA,Stock (TH),Real Estate,AMATA
BCP,Stock (TH),Energy,BCP
BBL,Stock (TH),Financial Services,BBL
BA,Stock (TH),Industrials,BA
BDMS,Stock (TH),Healthcare,BDMS
CBG,Stock (TH),Consumer Defensive,CBG
BCH,Stock (TH),Healthcare,BCH
BEM,Stock (TH),Industrials,BEM
CPN,Stock (TH),Real Estate,CPN
CRC,Stock (TH),Consumer Cyclical,CRC
CENTEL,Stock (TH),Consumer Cyclical,CENTEL
CPF,Stock (TH),Consumer Defensive,CPF
CPALL,Stock (TH),Consumer Defensive,CPALL
CPAXT,Stock (TH),Consumer Defensive,CPAXT
COM7,Stock (TH),Consumer Cyclical,COM7-R
DELTA,Stock (TH),Industrials,DELTA
EGCO,Stock (TH),Utilities,EGCO
GULF,Stock (TH),Utilities,GULF
GPSC,Stock (TH),Utilities,GPSC-R
HMPRO,Stock (TH),Consumer Cyclical,HMPRO
KBANK,Stock (TH),Financial Services,KBANK
IVL,Stock (TH),Basic Materials,IVL-R
KTB,Stock (TH),Financial Services,KTB
MINT,Stock (TH),Consumer Cyclical,MINT
MTC,Stock (TH),Financial Services,MTC
PR9,Stock (TH),Healthcare,PR9
PTTEP,Stock (TH),Energy,PTTEP
OR,Stock (TH),Energy,OR
PTT,Stock (TH),Energy,PTT
PTTGC,Stock (TH),Basic Materials,PTTGC
RATCH,Stock (TH),Utilities,RATCH
SCB,Stock (TH),Financial Services,SCB
SIRI,Stock (TH),Real Estate,SIRI-R
GLOBAL,Stock (TH),Consumer Cyclical,GLOBAL
SCGP,Stock (TH),Consumer Cyclical,SCGP
SAWAD,Stock (TH),Financial Services,SAWAD-R
THAI,Stock (TH),Industrials,THAI
SPALI,Stock (TH),Real Estate,SPALI
SPRC,Stock (TH),Energy,SPRC-R
SCC,Stock (TH),Industrials,SCC
TU,Stock (TH),Consumer Defensive,TU-R
TIDLOR,Stock (TH),Financial Services,TIDLOR
TTB,Stock (TH),Financial Services,TTB
WHA,Stock (TH),Real Estate,WHA
TRUE,Stock (TH),Communication Services,TRUE
TRUE,Stock (TH),Communication Services,TRUE
BAM,Stock (TH),Financial Services,BAM
TRUE,Stock (TH),Communication Services,TRUE
ITC,Stock (TH),Consumer Defensive,ITC
JMT,Stock (TH),Financial Services,JMT
KCE,Stock (TH),Technology,KCE
LH,Stock (TH),Real Estate,LH
KKP,Stock (TH),Financial Services,KKP
MEGA,Stock (TH),Healthcare,MEGA
M,Stock (TH),Consumer Cyclical,M
QH,Stock (TH),Real Estate,QH
PRM,Stock (TH),Energy,PRM
RCL,Stock (TH),Industrials,RCL
TOP,Stock (TH),Energy,TOP
TCAP,Stock (TH),Financial Services,TCAP
TASCO,Stock (TH),Basic Materials,TASCO
TISCO,Stock (TH),Financial Services,TISCO
WHAUP,Stock (TH),Utilities,WHAUP
USD JP_1GLOBALBOND,Stock (US),Financial Services,JPM
EUR_1GLOBALBOND,Stock (TH),Financial Services,SCB-R
USD SCB_1GLOBAL,Stock (TH),Financial Services,SCB-R
COIN US EQUITY,Stock (US),Financial Services,COIN
MSFT US EQUITY,Stock (US),Technology,MSFT
CLKBANK,Stock (TH),Financial Services,KBANK
TSLA US EQUITY,Stock (US),Consumer Cyclical,TSLA
BSRC,Stock (TH),Energy,BSRC
BE8,Stock (TH),Technology,BE8
USD FCD_1US-OPP,Stock (TH),Financial Services,SCB-R
CK,Stock (TH),Industrials,CK
HANA,Stock (TH),Technology,HANA
ILM,Stock (TH),Consumer Cyclical,ILM
BH,Stock (TH),Healthcare,BH
STA,Stock (TH),Basic Materials,STA
ICHI,Stock (TH),Consumer Defensive,ICHI
MOSHI,Stock (TH),Consumer Cyclical,MOSHI
OSP,Stock (TH),Consumer Defensive,OSP
SCGD,Stock (TH),Basic Materials,SCGD
ERW,Stock (TH),Consumer Cyclical,ERW
CREDIT,Stock (TH),Financial Services,CREDIT
CREDIT,Stock (TH),Financial Services,CREDIT
ABPACII SP,Stock (HK),Energy,0645
ABPACII SP,Stock (HK),Energy,0645
ABPACII SP,Stock (HK),Energy,0645
BGRIM,Stock (TH),Utilities,BGRIM
HTC,Stock (TH),Consumer Defensive,HTC
HUMAN,Stock (TH),Technology,HUMAN
NEO,Stock (TH),Consumer Defensive,NEO
TURBO,Stock (TH),Financial Services,TURBO
RBF,Stock (TH),Consumer Defensive,RBF
SIS,Stock (TH),Technology,SIS
SISB,Stock (TH),Consumer Defensive,SISB
THCOM,Stock (TH),Technology,THCOM
TOG,Stock (TH),Healthcare,TOG
AEONTS,Stock (US),Healthcare,AEON
AEONTS,Stock (US),Healthcare,AEON
STANLY,Stock (TH),Consumer Cyclical,STANLY
STANLY,Stock (TH),Consumer Cyclical,STANLY
TLI,Stock (TH),,TLI-R
AFMOAT-H_BAY_WH,Stock (TH),Financial Services,BAY
AFMOATHRMF_BAY_WH,Stock (TH),Financial Services,BAY
AFMOAT-H_BAY_WH,Stock (TH),Financial Services,BAY
AWC,Stock (TH),Consumer Cyclical,AWC
BJC,Stock (TH),Industrials,BJC-R
BTS,Stock (TH),Industrials,BTS
CCET,Stock (TH),Technology,CCET
CHG,Stock (TH),Healthcare,CHG
CGD,Stock (TH),Real Estate,CGD
CGH,Stock (TH),Financial Services,CGH
DOHOME,Stock (TH),Consumer Cyclical,DOHOME
KTC,Stock (TH),Financial Services,KTC-R
PSP,Stock (TH),Basic Materials,PSP
TFB,Stock (US),Financial Services,KPCUF
UOBT,Stock (US),Financial Services,UOVEF
VGI,Stock (TH),Industrials,VGI
CNDXLN,Stock (US),Financial Services,BLK
SDIALN,Stock (US),Financial Services,BLK
CBU0LN,Stock (US),Financial Services,BLK
DTLALN,Stock (US),Financial Services,BLK
MASTER,Stock (TH),Healthcare,MASTER
IDTLLN,Stock (US),Financial Services,BLK
TKC,Stock (TH),Industrials,TKC
MAIN2-ASP,Stock (TH),Financial Services,ASP
UOBT-ASP,Stock (US),Financial Services,UOVEF
INGINAA,Stock (US),Financial Services,ING
INGLTWP,Stock (US),Financial Services,ING
INGIJEA,Stock (US),Financial Services,ING
MCHI US,Stock (US),Financial Services,BLK
AWEMFUA LX,Stock (US),Financial Services,AXAHF
MAIN2-ASP-AAA,Stock (US),Financial Services,KPCUF
AWEMFUA LX,Stock (US),Financial Services,AXAHF
GOOG US,Stock (US),Communication Services,GOOG
MAIN2-ASP-AAA,Stock (US),Financial Services,KPCUF
AMZN US,Stock (US),Consumer Cyclical,AMZN
AVGO US,Stock (US),Technology,AVGO
ASML NA,Stock (US),Technology,ASML
GEV US,Stock (US),Industrials,GEV
IREN US,Stock (US),Financial Services,IREN
MSFT US,Stock (US),Technology,MSFT
MAIN2-ASP-AIEQ,Stock (US),Financial Services,KPCUF
MPWR US,Stock (US),Technology,MPWR
NVDA US,Stock (US),Technology,NVDA
ORCL US,Stock (US),Technology,ORCL
PLTR US,Stock (US),Technology,PLTR
TSM US,Stock (US),Technology,TSM
UOBT-ASP-APR-UI,Stock (US),Technology,UI
MAIN A/C -AIEQRMF,Stock (US),Financial Services,C
MAIN-APR-UI,Stock (TH),Financial Services,TTB
MAIN2-ASP-ASIAN,Stock (TH),Financial Services,ASP
MAIN2-ASP-BRIC,Stock (US),Financial Services,KPCUF
MAIN-CHINABOND,Stock (US),Financial Services,MAIN
MAIN-CHINABOND,Stock (US),Financial Services,MAIN
UOBT-ASP-CHINABOND,Stock (US),Financial Services,UOVEF
UOBT-ASP-CHINABOND,Stock (US),Financial Services,UOVEF
COST US,Stock (US),Consumer Defensive,COST
KAMART,Stock (TH),Consumer Defensive,KAMART
MAIN2-ASP-CHINA,Stock (US),Financial Services,KPCUF
NSL,Stock (TH),Consumer Defensive,NSL
MAIN A/C-DEQ THAIE,Stock (US),Financial Services,KPCUF
MAIN2-ASP-DGOV,Stock (US),Financial Services,KPCUF
MAIN A/C-DEQ THAIE,Stock (US),Financial Services,KPCUF
MAIN2-ASP-DGOV,Stock (US),Financial Services,KPCUF
CIFR US,Stock (US),Financial Services,CIFR
CRCL US,Stock (US),Financial Services,CRCL
COIN US,Stock (US),Financial Services,COIN
HOOD US,Stock (US),Financial Services,HOOD
MAIN-DIGIBLOC,Stock (US),Financial Services,MAIN
HOOD US,Stock (US),Financial Services,HOOD
MAIN-DIGIBLOCRMF,Stock (US),Financial Services,MAIN
FCD-USD-DIGIBSSF,Stock (TH),Financial Services,TTB
FCD-USD-DIGIBRMF,Stock (TH),Financial Services,TTB
SPOT US,Stock (US),Communication Services,SPOT
PANW US,Stock (US),Technology,PANW
MAIN2-ASP-DISRUPT,Stock (US),Financial Services,KPCUF
UBER US,Stock (US),Technology,UBER
UBER US,Stock (US),Technology,UBER
MAINA/C-DISRUPTRMF,Stock (US),Financial Services,KPCUF
MAIN A/C - ASPERF,Stock (US),Financial Services,KPCUF
CKP,Stock (TH),Utilities,CKP
AXAEDIC LX,Stock (US),Financial Services,AXAHF
MAIN2-ASP-EUPROP,Stock (US),Financial Services,KPCUF
BGWPEBA ID,Stock (US),Consumer Cyclical,ID
ATAT US,Stock (US),Consumer Cyclical,ATAT
MAIN A/C-ASP-EUG,Stock (TH),Financial Services,TTB
MAIN A/C-EVOSSF,Stock (US),Financial Services,KPCUF
MAIN2-EUROPEQUALI,Stock (US),Financial Services,KPCUF
MAIN2-ASP-EVOCHINA,Stock (US),Financial Services,KPCUF
MAIN2-ASP-EVORMF,Stock (US),Financial Services,KPCUF
AWEMFUA LX-FF,Stock (US),Financial Services,AXAHF
MAIN2-ASP-FFPLUS,Stock (US),Financial Services,KPCUF
AWEMFUA LX-FF,Stock (US),Financial Services,AXAHF
MAIN2-ASP-FFPLUS,Stock (US),Financial Services,KPCUF
BBCA IJ,Stock (US),Financial Services,PBCRY
BRIS IJ,Stock (TH),Real Estate,BRI
BMRI IJ,Stock (US),Financial Services,PPERF
BBRI IJ,Stock (US),Financial Services,BKRKF
BDO PM,Stock (US),Financial Services,BDOUF
CNVRG PM,Stock (US),Consumer Defensive,PM
FRT VN,Stock (US),Real Estate,FRT
HDB VN,Stock (US),Financial Services,HDB
JFC PM,Stock (US),Consumer Cyclical,JBFCY
MWG VN,Stock (US),Industrials,MWG
MAIN2-ASP-FLEXPLUS,Stock (US),Financial Services,KPCUF
MAIN A/C-ASP-GFEQ,Stock (TH),Financial Services,TTB
MAIN A/C - ASPFRF,Stock (US),Financial Services,KPCUF
MAINA/C-ASP-GCC-UI,Stock (TH),Financial Services,TTB
MAIN2-ASP-GOLD,Stock (US),Financial Services,KPCUF
ABBV US,Stock (US),Healthcare,ABBV
MAIN2-ASP-HSI,Stock (US),Financial Services,KPCUF
BSX US,Stock (US),Healthcare,BSX
LLY US,Stock (US),Healthcare,LLY
NVO US,Stock (US),Healthcare,NVO
MAIN2-ASP-IHEALTH,Stock (US),Financial Services,KPCUF
MAIN2-ASP-INDIA,Stock (US),Financial Services,KPCUF
MAIN2-ASP-INDIA,Stock (US),Financial Services,KPCUF
SHABJPY LX,Stock (US),Financial Services,LX
MAIN A/C-JPSMALL,Stock (US),Financial Services,MAIN
MAIN A/C-ASP-JHC,Stock (TH),Financial Services,TTB
MAIN A/C-INDIARMF,Stock (US),Financial Services,KPCUF
STECON,Stock (TH),Industrials,STECON
MAIN2-LEGACY-UI,Stock (US),Financial Services,KPCUF
MAIN A/C-MIX THAIE,Stock (US),Financial Services,KPCUF
AAPL US,Stock (US),Technology,AAPL
META US,Stock (US),Communication Services,META
MAIN A/C-MAG7-AI,Stock (US),Financial Services,MAIN
MAIN2-ASP-NGF,Stock (US),Financial Services,KPCUF
FCD-JPY-NGF,Stock (US),Financial Services,KPCUF
MAIN2-ASP-OIL,Stock (US),Financial Services,KPCUF
ADVICE,Stock (TH),Technology,ADVICE
MAIN A/C - ASPMRF,Stock (US),Financial Services,KPCUF
MONO,Stock (TH),Communication Services,MONO
PSL,Stock (TH),Industrials,PSL
MAIN A/C-POWERRMF,Stock (US),Financial Services,MAIN
MAIN A/C-ASP-PHF,Stock (TH),Financial Services,TTB
MAIN A/C-ASP-POWER,Stock (TH),Financial Services,TTB
LZGIEIA ID,Stock (US),Consumer Cyclical,ID
MAIN A/C - PROPIN,Stock (US),Financial Services,KPCUF
CLAR SP,Stock (US),Real Estate,ACDSF
WELL US,Stock (US),Real Estate,WELL
WELL US,Stock (US),Real Estate,WELL
CLAR SP,Stock (US),Real Estate,ACDSF
MAIN A/C-SDAILY,Stock (US),Financial Services,KPCUF
SJWD,Stock (TH),Industrials,SJWD
MAIN2-ASP-SME,Stock (US),Financial Services,KPCUF
KLINIQ,Stock (TH),Consumer Cyclical,KLINIQ
KLINIQ,Stock (TH),Consumer Cyclical,KLINIQ
MAIN-SMERMF,Stock (US),Financial Services,KPCUF
MAIN2-ASP-MSSF,Stock (US),Financial Services,KPCUF
MAIN2-ASP-MSSF,Stock (US),Financial Services,KPCUF
